artist,image_ref,caption,styles,motifs,collection,is_best_example
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1688.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1689.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1690.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1691.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1692.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1693.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1694.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1695.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1696.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1697.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1698.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1699.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1700.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1701.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1702.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1703.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1704.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1705.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/Untitled_Artwork.png,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1708.PNG,Build-a-pin base design,traditional;illustrative,charm;build-a-pin;pin-base,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1709.PNG,Build-a-pin base design,traditional;illustrative,charm;build-a-pin;pin-base,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1710.PNG,Build-a-pin base design,traditional;illustrative,charm;build-a-pin;pin-base,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1711.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1712.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1713.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1714.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1715.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1716.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1717.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1718.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1719.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1720.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1721.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1722.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1723.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1724.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1725.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1726.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1727.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1728.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1729.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/Untitled_Artwork.png,Build-a-pin example piece,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/flash/3D78CF96-9043-4AC4-BFB8-5ECC473B9451.png,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_0390.JPG,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1291.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1581.PNG,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1582.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1583.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1584.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1585.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1586.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1587.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1588.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1589.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1590.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1591.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1592.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_1593.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_3426.PNG,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/IMG_3427.PNG,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/Untitled_Artwork.jpg,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/flash/Untitled_Artwork.png,Flash design,traditional;flash,flash-sheet,flash,false
Ladies First Flash,flash://ladies8391/lunch-menu/3D78CF96-9043-4AC4-BFB8-5ECC473B9451.png,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_0390.JPG,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1341.PNG,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1345.PNG,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1364.PNG,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1365.PNG,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1437.PNG,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1438.PNG,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1439.PNG,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1582.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1583.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1584.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1586.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1587.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1588.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1590.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1591.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1592.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1593.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1598.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1599.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1600.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1602.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1603.PNG,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1605.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1606.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1607.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1608.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1625.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1634.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_1635.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/IMG_3426.jpeg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/Untitled_Artwork.png,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/lunch-menu/download.jpg,Lunch menu flash sheet,fine-line;traditional;illustrative,flash-sheet,lunch-menu,false
Ladies First Flash,flash://ladies8391/pride/IMG_1730.PNG,Pride build-a-pin charm design,traditional;illustrative,pride;rainbow;charm,pride,false
Ladies First Flash,flash://ladies8391/pride/IMG_1731.PNG,Pride build-a-pin charm design,traditional;illustrative,pride;rainbow;charm,pride,false
Ladies First Flash,flash://ladies8391/pride/IMG_1732.PNG,Pride build-a-pin charm design,traditional;illustrative,pride;rainbow;charm,pride,false
Ladies First Flash,flash://ladies8391/pride/IMG_1733.PNG,Pride build-a-pin charm design,traditional;illustrative,pride;rainbow;charm,pride,false
Ladies First Flash,flash://ladies8391/pride/IMG_1734.PNG,Pride build-a-pin charm design,traditional;illustrative,pride;rainbow;charm,pride,false
Ladies First Flash,flash://ladies8391/pride/IMG_1735.PNG,Pride flash design,traditional,pride;rainbow,pride,false
Ladies First Flash,flash://ladies8391/pride/Untitled_Artwork(1).png,Pride flash design,traditional,pride;rainbow,pride,false
Ladies First Flash,flash://ladies8391/pride/Untitled_Artwork.png,Pride build-a-pin charm design,traditional;illustrative,pride;rainbow;charm,pride,false
Ladies First Flash,flash://ladies8391/pride/pride-flash/Untitled_Artwork.png,Pride flash design,traditional,pride;rainbow,pride,false
